,index_new,atel_num,Sentence,label,process
0,0,11119.0,"The red circle has a radius of 1"" and is consistent with the position of the transient reported by the POSS team (RA: 23:14:45.10 Dec: +04:31:51.10).",1.0,red circl radiu consist posit transient report poss team ra dec 
1,1,11132.0,"This nova is located at RA = 5:30:16.77, Dec = -73:16:11.3 (J2000).",1.0,nova locat ra dec jtwothousand 
2,2,11140.0,"Transient, Variables MASTER OT J091047.21-622754.5 discovery - new OT, possib.dwarf nova, ampl>4.5mag MASTER-OAFA auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"",Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = discovered OT source at (RA, Dec) = 09h 10m 47.21s -62d 27m 54.5s on 2018-01-03.32081 UT.",1.0,transient variabl master ot j discoveri new ot possibdwarf nova ampl mag master oafa auto detect system href lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec discov ot sourc ra dec h ut
3,3,11140.0,"ampl>2.7mag MASTER-OAFA auto-detection system discovered OT source at (RA, Dec) = 15h 28m 04.66s -67d 37m 20.4s on 2018-01-04.34900 UT.",1.0,ampl mag master oafa auto detect system discov ot sourc ra dec h ut
4,4,11140.0,"The discovery and reference images are available at:   MASTER OT J103830.90-640119.4 detection - OT, ampl>4m MASTER-OAFA auto-detection system discovered OT source at (RA, Dec) = 10h 38m 30.90s -64d 01m 19.4s on 2017-12-28.11745 UT.",1.0,discoveri refer imag avail master ot j detect ot ampl master oafa auto detect system discov ot sourc ra dec h ut
5,5,11143.0,"UVW2 16.78 0.06 UVM2 16.55 0.09 UVW1 16.49 0.07 U 16.52 0.07 B 17.57 0.09 V 17.39 0.14 We also use the UVOT images to measure the position of OGLE17jei: 03:14:11.94 -71:12:25.5 +/-0.1"" J2000 which is 1.1"" from the reported position of the host galaxy.",1.0,uvw uvm uvw u b v also use uvot imag measur posit ogl jei jtwothousand report posit host galaxi
6,6,11165.0,"MASTER OT J030057.16-662523.1 discovery - ampl>2.8m MASTER-SAAO auto-detection system ( Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L ) discovered OT source at (RA, Dec) = 03h 00m 57.16s -66d 25m 23.1s on 2018-01-11.89176 UT.",1.0,master ot j discoveri ampl master saao auto detect system lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut
7,7,11168.0,Survey Name | IAI Name | Discovery date (UT) | Discovery mag | Observation (UT) | Type | z | Notes| | AT2018eq | 2018-01-12 17:22:33 | 17.8 (unfiltered)|2018–01-13 18:20:00 | CV | Galactic | (1) | PS18bq | SN2018bi | 2018-01-07 19:45:07 | 17.1 (unfiltered)|2018-01-13 19:30:00 | Ia | 0.01668 | (2) | Gaia18aak | AT2018C | 2018-01-01 03:30:14 | 16.84 (G-Gaia) |2018-01-13 21:30:00 | CV | Galactic | (3) | (1) The spectrum shows a blue continuum with the Balmer emission lines at rest wavelength.,2.0,survey name iai name discoveri date ut discoveri mag observ ut type z note eq unfilt cv galact ps bq sn bi unfilt ia gaia aak c g gaia cv galact spectrum show blue continuum balmer emiss line rest wavelength
8,8,11173.0,"Using MAXI/GSC 4-10 keV data of 32 scan transits from 11:42 UT on 2017 November 17 to 11:35 on November 19, we obtained the source position at (R.A., Dec) = (247.563 deg, -27.547 deg) = (16 30 15, -27 32 49) (J2000) with a statistical 90% C.L.",1.0,use maxi gsc kev data scan transit ut novemb novemb obtain sourc posit ra dec deg deg jtwothousand statist cl
9,9,11173.0,"We also obtained the source position using 2-4 keV data at (R.A., Dec) = (247.860 deg, -27.406 deg) = (16 31 26, -27 24 21) (J2000) with a statistical 90% C.L.",1.0,also obtain sourc posit use kev data ra dec deg deg jtwothousand statist cl
10,10,11182.0,"The slew position is RA: 05h36m29.4s, DEC: -67d59m40s with a 1-sigma error circle of 8 arcseconds, lying at 7 arcseconds from the XMM-Newton serendipitous catalogue source, 3XMM J053630.3-675935, which with a flux Fx~1.1E-14 ergs/s/cm2 (2012-03-24), is a factor ~200 fainter than the slew measurement.",1.0,slew posit ra h dec sigma error circl arcsecond lie arcsecond xmm newton serendipit catalogu sourc xmm j flux fx e erg cm factor fainter slew measur
11,11,11182.0,"Assuming that 3XMM J053630.3-675935 is the counterpart then the best available position is RA: 05h36m30.35s, DEC: -67d59m35.9s with an error of ~2 arcseconds.",1.0,assum xmm j counterpart best avail posit ra h dec error arcsecond
12,12,11185.0,"The reported coordinates are consistent with those of a bright (I = 15.04 mag), red (V-I = 3.07 mag) star OGLE-LMC173.6.14223 (R.A. = 05:36:30.20, Decl.= -67:59:37.0, J2000.0).",1.0,report coordin consist bright mag red v mag star ogl lmc  ra decl jtwothousand 
13,13,11189.0,"The Large Area Telescope (LAT), one of two instruments on the Fermi Gamma-ray Space Telescope, has observed an intense gamma-ray flare from a source positionally consistent with the flat spectrum radio quasar 3C 279, also known as 3FGL J1256.1-0547 (Acero et al.2015, ApJS, 218, 23), with radio coordinates R.A.: 12h56m11.1665s, Dec: -05d47m21.523s (J2000.0; Johnston et al.1995, AJ, 110, 880).",1.0,larg area telescop lat one two instrument fermi gamma ray space telescop observ intens gamma ray flare sourc posit consist flat spectrum radio quasar c also known fgl j acero et al apj radio coordin ra h dec jtwothousand johnston et al aj 
