,atel_num,Sentence,label
0,11119,"The red circle has a radius of 1"" and is consistent with the position of the transient reported by the POSS team (RA: 23:14:45.10 Dec: +04:31:51.10).",1.0
1,11124,"<span class=""inner-pre"" style=""font-size: 13px""> Date UT Band Magnitude Total exposure [s] 2018 01 01.723 V 18.91 &plusmn; 0.08 1800 2018 01 01.840 V 19.03 &plusmn; 0.08 2070 2017 12 31.829 R 18.18 &plusmn; 0.09 1260 2018 01 01.682 R 18.50 &plusmn; 0.08 1080 2018 01 01.796 R 18.57 &plusmn; 0.06 1350 2018 01 01.864 R 18.60 &plusmn; 0.05 1800 2018 01 02.768 R 19.37 &plusmn; 0.14 1170 2018 01 02.921 R 19.42 &plusmn; 0.11 3510 2018 01 01.701 I 18.24 &plusmn; 0.09 1800 2018 01 01.816 I 18.43 &plusmn; 0.10 1800 </span>",2.0
2,11128,"Date | z | Host | Type | Notes Gaia18abb | AT2018J | 11:00:57.11 | -25:47:13.27 | 2018-01-02 | 18.06 | 2018-01-03 | 0.076 | 2MASX J11005714-2547135 | SN Ia/Ic | Ia+1 week or Ic -2 days We acknowledge ESA Gaia, DPAC and the Photometric Science Alerts Team ( ).",2.0
3,11129,Date | Source | Disc Mag | z | Type | Phase | Notes ATLAS17nzs | SN2017jyl | 10 40 21.29 | -46 25 10.5 | 20171230 | ATLAS | 16.3 | 0.024 | Ia | at max | (1) ATLAS17nxl | SN2017jfb | 05 28 51.23 | -35 44 35.3 | 20171224 | ATLAS | 18.3 | 0.060 | Ia | +5d | (2) (1) Discovered as MASTER OT J104021.29-462510.8 on 20171227.,2.0
4,11132,"This nova is located at RA = 5:30:16.77, Dec = -73:16:11.3 (J2000).",1.0
5,11135,"Date | Source | Disc Mag | z | Type | Phase | Notes Gaia17dfv | SN2017iwe | 13 33 12.07 | -16 07 06.0 | 20171209 | GaiaAlerts | 18.2 | 0.020 | IIP | +70d | AT2017jcu | SN2017jcu | 03 22 46.90 | +00 08 53.0 | 20171222 | POSS | 17.9 | 0.023 | II | young | ASASSN-17rn | SN2017jeg | 08 36 24.64 | +26 07 24.6 | 20171226 | ASAS-SN | 18.1 | 0.07 | Ia | +10d | (1,2) Gaia17dkh | SN2017jfs | 12 29 37.78 | +07 49 35.1 | 20171226 | GaiaAlerts | 17.2 | 0.008 | IIn | | (3,4) Gaia17dkl | SN2017jfv | 13 38 25.35 | -31 15 52.7 | 20171225 | GaiaAlerts | 17.6 | 0.038 | Ibn | +15d | (5) Gaia17dku | SN2017jgf | 13 01 44.68 | -24 30 47.3 | 20171227 | GaiaAlerts | 17.6 | 0.046 | Ia-91T | at max | (6) Gaia17dky | SN2017jhf | 12 25 45.76 | -21 44 24.4 | 20171228 | GaiaAlerts | 16.6 | 0.033 | Ia | at max | PS17fuc | SN2017jne | 09 11 43.32 | -00 15 31.9 | 20171228 | Pan-STARRS1 | 18.7 | 0.05 | II | young | (1) ATLAS18aap | SN2017jym | 05 46 02.50 | -25 39 06.8 | 20171228 | ATLAS | 18.8 | 0.041 | Ia | at max | (1) Redshift from SNID.<br /> (2) Good matches both with normal and 91T-like SNe Ia.<br /> (3) Also discovered on 20171228 by Pan-STARRS1 as PS17fqp.<br /> (4) Good matches with various SNe IIn and SN impostors.",2.0
6,11139,"Date | Source | Disc Mag | z | Type | Phase | Notes PS17fzk | SN2017jtv | 09 32 20.77 | +03 26 49.1 | 20171222 | Pan-STARRS1 | 20.1 | 0.09 | Ia | +6 | (1) Gaia18aaz | SN2018H | 10 43 24.22 | +07 06 00.2 | 20180102 | GaiaAlerts | 18.9 | 0.083 | I | | (2,3) (1) Redshift from SNID.<br /> (2) Redshift from narrow Halpha emission of the host galaxy.<br /> (3) Reasonable matches are obtained with normal SNe Ic around maximum light, as well as SNe Ia at +2-3 weeks.<br />",2.0
7,11140,"Transient, Variables MASTER OT J091047.21-622754.5 discovery - new OT, possib.dwarf nova, ampl>4.5mag MASTER-OAFA auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"",Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = discovered OT source at (RA, Dec) = 09h 10m 47.21s -62d 27m 54.5s on 2018-01-03.32081 UT.",1.0
8,11140,"ampl>2.7mag MASTER-OAFA auto-detection system discovered OT source at (RA, Dec) = 15h 28m 04.66s -67d 37m 20.4s on 2018-01-04.34900 UT.",1.0
9,11140,"We have previous outburst in 2016 2016-07-22 02:30:10UT 16.4 (2 images) 2016-07-23 02:37:32UT 16.0 (2 images) 2016-07-25 02:49:27UT 17.2 (2 images) 2016-07-30 02:15:32UT no OT mlim=18.1 There is GSC2.3.2 star with B=17.04,R=17.97 in 1992.568,also IGSL source (Smart et al., 2013) with B_(GSC2.3)=19.9 (1992.5699) in VIZIER <a href="" "">database</a> Spectral observations, deep photometry are required.",0.0
