,atel_num,Sentence,label
0,11120,The Nordic Optical Telescope (NOT) Unbiased Transient Survey (NUTS; ATel #8992) reports the spectroscopic classification of Gaia17dkc / SN2017jfo in host galaxy SDSS J013336.84+332552.0.,1.0
1,11129,Date | Source | Disc Mag | z | Type | Phase | Notes ATLAS17nzs | SN2017jyl | 10 40 21.29 | -46 25 10.5 | 20171230 | ATLAS | 16.3 | 0.024 | Ia | at max | (1) ATLAS17nxl | SN2017jfb | 05 28 51.23 | -35 44 35.3 | 20171224 | ATLAS | 18.3 | 0.060 | Ia | +5d | (2) (1) Discovered as MASTER OT J104021.29-462510.8 on 20171227.,2.0
2,11141,"The Large Area Telescope (LAT), one of two instruments on the Fermi Gamma-ray Space Telescope, has observed gamma-ray emission from a source positionally consistent with the radio source PKS 2247-131, with coordinates RA=342.4983854 deg, Dec=-12.8546736 deg (J2000; Beasley et al.2002, ApJS, 141, 13), and no measured redshift.",1.0
3,11141,"Given the localization errors of the LAT gamma-ray source, the blazar PKS 2247-131 is the most credible counterpart.",1.0
4,11141,"Recently, in ATel #11043 and ATel #11127, the AGILE Collaboration announced the detection of significant gamma-ray emission from AGL J2251-1239, whose sky position is consistent with the Fermi-LAT source reported here.",1.0
5,11141,"The gamma-ray position uncertainties and the estimated flux reported by the AGILE Collaboration suggest that AGL J2251-1239 is the same object detected by the LAT, which is associated with PKS 2247-131.",1.0
6,11495,"Variables MASTER OT J113123.65-373607.7 discovery - PSN in PGC620583 MASTER-OAFA auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"",Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 11h 31m 23.65s -37d 36m 07.7s on 2018-04-02.00750 UT.",1.0
7,11497,"Pulsar During recent observations (1-2 Apr 2018, PI: E.Bozzo) of the weak X-ray burster IGR J17379-3747 (#11447,#11487, Chelovekov et al.2006, AstL, 32, 456) and regular observations of Galactic center region (2-3 Apr 2018, PI: R.A. Sunyaev) we detected a new X-ray transient in 20-60 keV sky maps obtained by IBIS/ISGRI.",1.0
8,11497,Its position is consistent with that of known accreting millisecond pulsar SWIFT J1756.9-2508.,1.0
9,11497,"Although the field is heavily polluted by single scattered photons from nearby bright LMXB GX 5-1 we clearly detected the source, with best-estimated position of (J2000) 269.23892, -25.10790 (error is 2.5"", 90% confidence), which is 0.65"" from catalog position of SWIFT J1756.9-2508.",1.0
10,11497,"Krimm et al, 2007, ApJ,688,147) we proposing that the observed transient is a new outburst of accreting millisecond pulsar SWIFT J1756.9-2508.",1.0
11,11502,"Following the report of a new outburst of the accreting millisecond X-ray pulsar Swift J1756.9-2508 (ATel #11497), NICER performed pointed observations starting on 2018 April 3, collecting 9.4 ks of exposure over the ~30 hours between April 3 15:18 UTC and April 4 21:01 UTC.",1.0
